iter	Passed	Remaining
700	15595	6652
701	15620	6630
702	15645	6609
703	15672	6589
704	15697	6568
705	15722	6547
706	15746	6525
707	15772	6505
708	15797	6483
709	15821	6462
710	15847	6441
711	15873	6420
712	15898	6399
713	15924	6378
714	15948	6357
715	15974	6336
716	15997	6314
717	16024	6293
718	16051	6273
719	16075	6251
720	16103	6231
721	16129	6210
722	16155	6189
723	16177	6167
724	16203	6146
725	16226	6123
726	16252	6103
727	16276	6081
728	16302	6060
729	16325	6038
730	16349	6016
731	16373	5994
732	16397	5972
733	16423	5951
734	16448	5930
735	16472	5908
736	16496	5886
737	16523	5865
738	16552	5845
739	16573	5822
740	16597	5801
741	16620	5778
742	16642	5756
743	16665	5734
744	16690	5712
745	16714	5691
746	16739	5669
747	16761	5646
748	16788	5625
749	16812	5604
750	16837	5582
751	16859	5559
752	16881	5537
753	16904	5515
754	16925	5492
755	16945	5469
756	16963	5445
757	16982	5421
758	17001	5398
759	17022	5375
760	17040	5351
761	17056	5327
762	17079	5305
763	17103	5283
764	17126	5260
765	17152	5239
766	17175	5217
767	17199	5195
768	17224	5174
769	17251	5153
770	17276	5131
771	17300	5109
772	17324	5087
773	17349	5065
774	17374	5044
775	17398	5022
776	17424	5000
777	17451	4979
778	17477	4958
779	17504	4937
780	17529	4915
781	17556	4894
782	17580	4872
783	17604	4850
784	17625	4827
785	17651	4805
786	17674	4783
787	17696	4760
788	17723	4739
789	17748	4717
790	17774	4696
791	17798	4674
792	17823	4652
793	17843	4629
794	17863	4606
795	17881	4582
796	17900	4559
797	17919	4536
798	17942	4513
799	17964	4491
800	17988	4469
801	18012	4446
802	18037	4425
803	18061	4403
804	18087	4381
805	18110	4359
806	18136	4337
807	18160	4315
808	18187	4293
809	18211	4271
810	18236	4249
811	18259	4227
812	18285	4205
813	18308	4183
814	18332	4161
815	18356	4139
816	18380	4117
817	18405	4095
818	18430	4073
819	18456	4051
820	18482	4029
821	18507	4007
822	18530	3985
823	18555	3963
824	18578	3940
825	18604	3919
826	18629	3897
827	18654	3875
828	18678	3852
829	18703	3830
830	18728	3808
831	18754	3786
832	18777	3764
833	18802	3742
834	18828	3720
835	18854	3698
836	18877	3676
837	18901	3654
838	18926	3631
839	18950	3609
840	18977	3587
841	19001	3565
842	19029	3544
843	19054	3521
844	19078	3499
845	19105	3477
846	19130	3455
847	19156	3433
848	19181	3411
849	19206	3389
850	19230	3366
851	19255	3344
852	19279	3322
853	19305	3300
854	19332	3278
855	19357	3256
856	19383	3234
857	19408	3212
858	19435	3190
859	19459	3167
860	19484	3145
861	19509	3123
862	19534	3101
863	19559	3078
864	19583	3056
865	19606	3033
866	19630	3011
867	19656	2989
868	19680	2966
869	19705	2944
870	19728	2921
871	19752	2899
872	19776	2876
873	19803	2854
874	19827	2832
875	19853	2810
876	19878	2787
877	19901	2765
878	19925	2742
879	19950	2720
880	19972	2697
881	19995	2675
882	20021	2652
883	20045	2630
884	20074	2608
885	20097	2585
886	20122	2563
887	20147	2541
888	20173	2518
889	20214	2498
890	20269	2479
891	20326	2461
892	20363	2439
893	20403	2419
894	20425	2396
895	20450	2373
896	20475	2351
897	20500	2328
898	20524	2305
899	20549	2283
900	20572	2260
901	20598	2237
902	20624	2215
903	20650	2192
904	20675	2170
905	20701	2147
906	20727	2125
907	20750	2102
908	20774	2079
909	20798	2057
910	20824	2034
911	20848	2011
912	20873	1989
913	20898	1966
914	20924	1943
915	20951	1921
916	20976	1898
917	20998	1875
918	21022	1852
919	21045	1830
920	21069	1807
921	21092	1784
922	21116	1761
923	21144	1739
924	21170	1716
925	21194	1693
926	21219	1671
927	21244	1648
928	21268	1625
929	21290	1602
930	21316	1579
931	21340	1557
932	21366	1534
933	21392	1511
934	21419	1489
935	21445	1466
936	21472	1443
937	21494	1420
938	21520	1398
939	21543	1375
940	21569	1352
941	21592	1329
942	21614	1306
943	21640	1283
944	21668	1261
945	21695	1238
946	21722	1215
947	21747	1192
948	21774	1170
949	21797	1147
950	21823	1124
951	21847	1101
952	21874	1078
953	21898	1055
954	21924	1033
955	21949	1010
956	21976	987
957	22002	964
958	22027	941
959	22050	918
960	22072	895
961	22098	872
962	22121	849
963	22146	827
964	22171	804
965	22198	781
966	22222	758
967	22247	735
968	22272	712
969	22298	689
970	22324	666
971	22346	643
972	22372	620
973	22395	597
974	22420	574
975	22445	551
976	22470	528
977	22492	505
978	22521	483
979	22545	460
980	22571	437
981	22594	414
982	22620	391
983	22643	368
984	22670	345
985	22692	322
986	22718	299
987	22741	276
988	22763	253
989	22788	230
990	22813	207
991	22839	184
992	22862	161
993	22884	138
994	22907	115
995	22929	92
996	22954	69
997	22978	46
998	23003	23
999	23027	0
